"","NAME","COLOR","SEX","DISTANCE_MILES","SPEED_YPM","TYPE"
"1","KEN ROBINSO/5","blue bar","cock","117.233",1303.1,"YOUNG BIRD"
"2","KEN ROBINSON","blue bar","cock","2/5",1301.9,"YOUNG BIRD"
"3","NATHAN     /5","blue bar","hen","114.084",1287.1,"YOUNG BIRD"
"4","NATHAN","blue bar","hen","2/5",1286.9,"YOUNG BIRD"
"5","R & M LOFT /5","blue bar","hen","114.084",1286.8,"YOUNG BIRD"
"6","R & M LOFT","complex","hen","2/5",1286.5,"YOUNG BIRD"
"7","R & M LOFT","complex","hen","3/5",1286.3,"YOUNG BIRD"
"8","NATHAN","red check","hen","3/5",1286.2,"YOUNG BIRD"
"9","R & M LOFT","blue bar","hen","4/5",1284.5,"YOUNG BIRD"
"10","DILLARD LOF/5","complex","hen","130.847",1284.1,"YOUNG BIRD"
"11","Wegge Wings/5","complex","cock","130.794",1283,"YOUNG BIRD"
"12","Larry Mitch/5","complex","cock","98.152",1282.9,"YOUNG BIRD"
"13","Larry Mitchel","blue bar","hen","2/5",1282.8,"YOUNG BIRD"
"14","Larry Mitchel","blue bar","hen","3/5",1282.5,"YOUNG BIRD"
"15","FAST LANE  /5","blue bar","hen","130.407",1280.1,"YOUNG BIRD"
"16","FAST LANE","complex","hen","2/5",1279.7,"YOUNG BIRD"
"17","JIM ROBINSO/5","blue bar","cock","106.246",1273.5,"YOUNG BIRD"
"18","JIM ROBINSON","complex","cock","2/5",1272.9,"YOUNG BIRD"
"19","NATHAN","complex","hen","4/5",1269,"YOUNG BIRD"
"20","DILLARD LOFT","complex","hen","2/5",1258.3,"YOUNG BIRD"
"21","LIU LOFT   /5","complex","hen","154.517",1242.3,"YOUNG BIRD"
"22","TRIPLE G LO/5","complex","hen","124.195",1225.3,"YOUNG BIRD"
"23","DFL/WINDSON/5","grizzled","hen","137.689",1212.4,"YOUNG BIRD"
"24","Steve Trott/5","grizzled","cock","130.856",1205.1,"YOUNG BIRD"
"25","JOHNS LOFT /4","red check","hen","139.616",1192.1,"YOUNG BIRD"
"26","Jeff Lamber/1","complex","hen","131.944",1188.8,"YOUNG BIRD"
"27","Rick Weig  /5","complex","hen","144.352",1183.6,"YOUNG BIRD"
"28","Jerry Meado/5","complex","cock","133.368",1151.7,"YOUNG BIRD"
"29","2 TWISTED S/3","blue bar","hen","145.348",1124.6,"YOUNG BIRD"
"30","Lucky 13 Lo/5","complex","cock","120.192",902,"YOUNG BIRD"
"31","NI LOFT    /5","grizzled","hen","143.525",886.7,"YOUNG BIRD"
"32","FLOYD      /5","blue check","hen","142.428",784.4,"YOUNG BIRD"
"33","DFL/WINGSON/5","unknown","hen","137.054",836.1,"YOUNG BIRD"
"34","NATHAN     /5","blue bar","hen","113.532",785,"YOUNG BIRD"
"35","NATHAN","blue bar","hen","2/5",784.7,"YOUNG BIRD"
"36","NATHAN","blue bar","hen","3/5",784.6,"YOUNG BIRD"
"37","R & M LOFT /5","blue check","hen","113.532",784.5,"YOUNG BIRD"
"38","KEN ROBINSO/5","unknown","hen","116.683",779,"YOUNG BIRD"
"39","Lucky 13 Lo/5","complex","cock","119.645",775.9,"YOUNG BIRD"
"40","WSI Big E L/5","blue bar","hen","138.226",769.2,"YOUNG BIRD"
"41","Ussrey Fami/5","complex","hen","132.428",747.7,"YOUNG BIRD"
"42","Lakeview lo/5","red check","hen","126.934",739.6,"YOUNG BIRD"
"43","Jeff Lamber/5","complex","hen","131.393",721.3,"YOUNG BIRD"
"44","Jeff Lamberto","complex","hen","2/5",721.2,"YOUNG BIRD"
"45","Jeff Lamberto","blue bar","hen","3/5",721.2,"YOUNG BIRD"
"46","Jeff Lamberto","complex","hen","4/5",721.1,"YOUNG BIRD"
"47","Jerry Meado/5","blue bar","cock","132.814",713.7,"YOUNG BIRD"
"48","Wegge Wings/5","blue bar","cock","130.246",702.2,"YOUNG BIRD"
"49","Lakeview loft","blue bar","hen","2/5",700,"YOUNG BIRD"
"50","Lucky 13 Loft","blue bar","cock","2/5",693.5,"YOUNG BIRD"
"51","Two Feather/5","blue bar","cock","123.709",687.9,"YOUNG BIRD"
"52","Bob Lephew /5","complex","hen","128.087",672.2,"YOUNG BIRD"
"53","KEN ROBINSON","blue check","hen","2/5",659.5,"YOUNG BIRD"
"54","DILLARD LOF/5","complex","hen","130.298",650.1,"YOUNG BIRD"
"55","KEN ROBINSON","blue bar","hen","3/5",642.2,"YOUNG BIRD"
"56","Jerry Meadows","complex","hen","2/5",625.7,"YOUNG BIRD"
"57","KEN ROBINSON","blue check","hen","4/5",623,"YOUNG BIRD"
"58","Steve Trott/5","blue bar","cock","130.306",622.7,"YOUNG BIRD"
"59","Clint Hendr/3","complex","cock","135.967",622.2,"YOUNG BIRD"
"60","DAVID BOYS /5","unknown","hen","137.054",609,"YOUNG BIRD"
"61","TNT LOFT   /5","complex","hen","138.239",608.7,"YOUNG BIRD"
"62","JIM ROBINSO/5","unknown","cock","105.698",604.8,"YOUNG BIRD"
"63","Manuel Hern/5","blue bar","hen","131.028",599.7,"YOUNG BIRD"
"64","LIU LOFT   /5","blue bar","hen","153.963",597.5,"YOUNG BIRD"
"65","FAST LANE  /1","complex","hen","129.854",566.1,"YOUNG BIRD"
"66","Larry Mitch/5","blue bar","cock","97.602",522.8,"YOUNG BIRD"
"67","Jesse Dobel/5","complex","hen","117.347",506.5,"YOUNG BIRD"
"68","2 TWISTED S/4","grizzled","hen","144.797",502.9,"YOUNG BIRD"
"69","Steve Trott/5","complex","cock","130.616",1240.8,"YOUNG BIRD"
"70","R & M LOFT /5","complex","cock","113.462",1238.5,"YOUNG BIRD"
"71","NATHAN     /5","complex","cock","113.462",1238.3,"YOUNG BIRD"
"72","Wegge Wings/5","blue bar","hen","130.557",1236.8,"YOUNG BIRD"
"73","KEN ROBINSO/5","blue bar","cock","116.613",1222.6,"YOUNG BIRD"
"74","KEN ROBINSON","blue bar","cock","2/5",1222.1,"YOUNG BIRD"
"75","2 TWISTED S/5","complex","hen","145.107",1222,"YOUNG BIRD"
"76","Lucky 13 Lo/5","complex","cock","119.574",1221.3,"YOUNG BIRD"
"77","FAST LANE  /5","complex","hen","130.162",1220.7,"YOUNG BIRD"
"78","2 TWISTED SIS","complex","hen","2/5",1217.1,"YOUNG BIRD"
"79","Devonne Jac/5","complex","hen","134.186",1216.3,"YOUNG BIRD"
"80","R & M LOFT","complex","cock","2/5",1213.3,"YOUNG BIRD"
"81","R & M LOFT","complex","cock","3/5",1213.1,"YOUNG BIRD"
"82","LIU LOFT   /5","unknown","hen","154.270",1209.5,"YOUNG BIRD"
"83","KEN ROBINSON","complex","cock","3/5",1207.2,"YOUNG BIRD"
"84","FAST LANE","blue bar","hen","2/5",1195.5,"YOUNG BIRD"
"85","LIU LOFT","unknown","hen","2/5",1190.1,"YOUNG BIRD"
"86","Wegge Wings","blue bar","hen","2/5",1189.1,"YOUNG BIRD"
"87","David Famil/5","blue bar","hen","137.364",1184.6,"YOUNG BIRD"
"88","David Family","blue bar","hen","2/5",1182.8,"YOUNG BIRD"
"89","Manuel Hern/5","blue bar","cock","131.334",1164.6,"YOUNG BIRD"
"90","Go Getem lo/5","complex","cock","148.486",1151.3,"YOUNG BIRD"
"91","Steve Trotter","complex","hen","2/5",1146.6,"YOUNG BIRD"
"92","BILL HILL  /5","red check","cock","117.221",1144.7,"YOUNG BIRD"
"93","2 TWISTED SIS","blue bar","hen","3/5",1144.6,"YOUNG BIRD"
"94","FAST LANE","blue bar","hen","3/5",1144.1,"YOUNG BIRD"
"95","FAST LANE","red check","hen","4/5",1143.6,"YOUNG BIRD"
"96","Lucky 13 Loft","complex","cock","2/5",1142.1,"YOUNG BIRD"
"97","BILL HILL","complex","cock","2/5",1138.9,"YOUNG BIRD"
"98","L & C DOBEL/5","complex","cock","117.277",1129,"YOUNG BIRD"
"99","Jesse Dobel/5","complex","cock","117.277",1128.7,"YOUNG BIRD"
"100","JIM ROBINSO/5","complex","unknown","105.628",1124.8,"YOUNG BIRD"
"101","Jerry Meado/5","complex","cock","133.121",1112.9,"YOUNG BIRD"
"102","Bob Lephew /5","blue bar","hen","128.397",1110.2,"YOUNG BIRD"
"103","ZOELLNER LO/5","complex","hen","124.836",1095.5,"YOUNG BIRD"
"104","Two Feather/4","dark check","hen","124.020",1092,"YOUNG BIRD"
"105","Rick Weig  /5","complex","hen","144.108",1087.4,"YOUNG BIRD"
"106","HEM LOFT   /5","complex","hen","161.916",1085.3,"YOUNG BIRD"
"107","Lakeview lo/5","complex","hen","127.244",1057.3,"YOUNG BIRD"
"108","STUART CHIL/5","complex","unknown","97.975",996.5,"YOUNG BIRD"
"109","K & J Loft /5","complex","cock","138.535",989.3,"YOUNG BIRD"
"110","LARRY MITCH/5","complex","unknown","97.532",677.1,"YOUNG BIRD"
"111","STUART CHIL/5","blue bar","unknown","98.355",1476.6,"YOUNG BIRD"
"112","NATHAN     /5","blue bar","hen","113.841",1458.2,"YOUNG BIRD"
"113","NATHAN","blue bar","hen","2/5",1458.1,"YOUNG BIRD"
"114","JIM ROBINSO/5","blue bar","unknown","106.008",1457,"YOUNG BIRD"
"115","R & M LOFT /5","complex","cock","113.841",1455.9,"YOUNG BIRD"
"116","BILL HILL  /5","red check","cock","117.600",1439.5,"YOUNG BIRD"
"117","KEN ROBINSO/5","complex","cock","116.993",1435.6,"YOUNG BIRD"
"118","KEN ROBINSON","blue bar","cock","2/5",1435.4,"YOUNG BIRD"
"119","LARRY MITCH/5","blue check","hen","97.912",1427.3,"YOUNG BIRD"
"120","NATHAN","dark check","hen","3/5",1425.5,"YOUNG BIRD"
"121","LARRY MITCHEL","blue bar","hen","2/5",1425,"YOUNG BIRD"
"122","Jeff Lamber/5","complex","hen","131.703",1418.2,"YOUNG BIRD"
"123","KEN ROBINSON","complex","cock","3/5",1409.7,"YOUNG BIRD"
"124","R & M LOFT","complex","cock","2/5",1403.9,"YOUNG BIRD"
"125","R & M LOFT","blue bar","cock","3/5",1403.7,"YOUNG BIRD"
"126","JIM ROBINSON","blue bar","unknown","2/5",1403.5,"YOUNG BIRD"
"127","R & M LOFT","complex","cock","4/5",1403.4,"YOUNG BIRD"
"128","NATHAN","blue bar","hen","4/5",1403.2,"YOUNG BIRD"
"129","CAROLYN ROB/5","blue bar","unknown","106.008",1402.1,"YOUNG BIRD"
"130","NATHAN","dark check","hen","5/5",1400.5,"YOUNG BIRD"
"131","Steve Trott/5","complex","hen","130.616",1398.9,"YOUNG BIRD"
"132","Steve Trotter","complex","cock","2/5",1395,"YOUNG BIRD"
"133","Steve Trotter","complex","hen","3/5",1395,"YOUNG BIRD"
"134","Steve Trotter","complex","hen","4/5",1394.7,"YOUNG BIRD"
"135","Wegge Wings/5","blue bar","hen","130.557",1383.9,"YOUNG BIRD"
"136","L & C DOBEL/5","blue bar","cock","117.656",1377.7,"YOUNG BIRD"
"137","Reed Family/5","blue bar","cock","145.107",1367.1,"YOUNG BIRD"
"138","David Famil/5","blue bar","hen","137.364",1365.7,"YOUNG BIRD"
"139","Two Feather/5","complex","hen","124.020",1359.7,"YOUNG BIRD"
"140","B-Liners Lo/5","complex","hen","116.585",1351.3,"YOUNG BIRD"
"141","Fast Lane  /5","complex","hen","130.162",1337.2,"YOUNG BIRD"
"142","Jesse Dobel/5","red check","cock","117.656",1328.2,"YOUNG BIRD"
"143","Devonne Jac/5","complex","hen","134.186",1323.7,"YOUNG BIRD"
"144","Rick Weig  /5","dark check","hen","144.108",1321.9,"YOUNG BIRD"
"145","Bob Lephew /5","complex","hen","128.396",1303,"YOUNG BIRD"
"146","Manuel Hern/5","blue bar","hen","131.334",1295.5,"YOUNG BIRD"
"147","K & J Loft /5","complex","cock","138.535",1286.1,"YOUNG BIRD"
"148","TONY MCCORD/5","complex","cock","133.364",1234.3,"YOUNG BIRD"
"149","Jerry Meado/5","complex","hen","133.121",1134.5,"YOUNG BIRD"
"150","JIM ROBINSO/5","red check","hen","106.008",1303.7,"YOUNG BIRD"
"151","R & M LOFT /5","blue check","cock","113.841",1292.1,"YOUNG BIRD"
"152","R & M LOFT","blue check","cock","2/5",1290.8,"YOUNG BIRD"
"153","R & M LOFT","blue check","cock","3/5",1285.5,"YOUNG BIRD"
"154","Steve Trott/5","blue check","cock","130.616",1272.4,"YOUNG BIRD"
"155","Jeff Lamber/4","blue bar","hen","131.703",1271.5,"YOUNG BIRD"
"156","BILL HILL  /5","complex","cock","117.600",1227.5,"YOUNG BIRD"
"157","Lakeview lo/5","complex","hen","127.244",1214.8,"YOUNG BIRD"
"158","KEN ROBINSO/5","blue bar","cock","116.993",1213.7,"YOUNG BIRD"
"159","Reed Family/5","red check","hen","145.107",1206.4,"YOUNG BIRD"
"160","Reed Family L","red check","hen","2/5",1205.1,"YOUNG BIRD"
"161","WSI Big E L/5","dark check","hen","138.535",1184.5,"YOUNG BIRD"
"162","JIM ROBINSON","red check","hen","2/5",1181.3,"YOUNG BIRD"
"163","Jeff Lamberto","blue bar","hen","2/4",1174,"YOUNG BIRD"
"164","BILL BARNES/5","red check","hen","106.255",1173.5,"YOUNG BIRD"
"165","David Famil/5","blue bar","cock","137.364",1156.7,"YOUNG BIRD"
"166","L & C DOBEL/5","blue check","cock","117.656",1153.9,"YOUNG BIRD"
"167","Manuel Hern/5","blue bar","cock","131.334",1151.5,"YOUNG BIRD"
"168","Steve Trotter","complex","cock","2/5",1149.2,"YOUNG BIRD"
"169","WSI Big E Lof","dark check","hen","2/5",1147,"YOUNG BIRD"
"170","Jesse Dobel/5","grizzled","cock","117.656",1142.8,"YOUNG BIRD"
"171","BILL HILL","complex","cock","2/5",1141.9,"YOUNG BIRD"
"172","Fast Lane  /4","blue bar","hen","130.162",1135.6,"YOUNG BIRD"
"173","Fast Lane","blue check","hen","2/4",1134.1,"YOUNG BIRD"
"174","Reed Family L","complex","hen","3/5",1132.2,"YOUNG BIRD"
"175","Reed Family L","red check","hen","4/5",1132,"YOUNG BIRD"
"176","Rick Weig  /5","complex","cock","144.108",1127.2,"YOUNG BIRD"
"177","Jesse Dobelbo","red bar","cock","2/5",1127.1,"YOUNG BIRD"
"178","David Family","blue bar","cock","2/5",1125.8,"YOUNG BIRD"
"179","Jesse Dobelbo","red bar","cock","3/5",1120.6,"YOUNG BIRD"
"180","B-Liners Lo/5","blue check","cock","116.585",1116.9,"YOUNG BIRD"
"181","Devonne Jac/5","dark check","cock","134.186",1094.5,"YOUNG BIRD"
"182","JACK STEPHE/5","blue bar","hen","68.465",1092.5,"YOUNG BIRD"
"183","LIU LOFT   /5","blue bar","hen","154.270",1074.2,"YOUNG BIRD"
"184","MANSOOR MOH/5","blue bar","cock","123.450",1072.7,"YOUNG BIRD"
"185","LARRY MITCH/5","blue check","hen","97.912",1063.1,"YOUNG BIRD"
"186","Kevin Landi/5","blue bar","cock","156.893",1053.3,"YOUNG BIRD"
"187","Jerry Meado/5","blue check","hen","133.121",1049.1,"YOUNG BIRD"
"188","Two Feather/5","blue check","hen","124.020",1046,"YOUNG BIRD"
"189","STUART CHIL/5","blue bar","hen","98.355",1042.3,"YOUNG BIRD"
"190","TONY MCCORD/5","blue bar","cock","133.364",1036.1,"YOUNG BIRD"
"191","Wegge Wings/5","blue check","hen","130.557",1010.4,"YOUNG BIRD"
"192","TRIPLE G LO/5","blue bar","hen","123.956",599.4,"YOUNG BIRD"
"193","Hennesy Lo/57","blue bar","cock","83.295",1491.3,"YOUNG BIRD"
"194","Hennesy Loft","blue bar","cock","2/57",1488.5,"YOUNG BIRD"
"195","Hennesy Loft","blue bar","hen","3/57",1487.8,"YOUNG BIRD"
"196","Hennesy Loft","blue check","cock","4/57",1487.6,"YOUNG BIRD"
"197","April Loft/24","blue check","cock","83.592",1484,"YOUNG BIRD"
"198","April Loft","blue check","cock","2/24",1482.1,"YOUNG BIRD"
"199","April Loft","complex","hen","3/24",1443,"YOUNG BIRD"
"200","Hennesy Loft","blue bar","hen","5/57",1430.9,"YOUNG BIRD"
"201","April Loft","blue check","hen","4/24",1425.5,"YOUNG BIRD"
"202","Hennesy Loft","grizzled","cock","6/57",1420.4,"YOUNG BIRD"
"203","Hennesy Loft","blue bar","cock","7/57",1418.9,"YOUNG BIRD"
"204","Hennesy Loft","blue check","hen","8/57",1417.8,"YOUNG BIRD"
"205","Hennesy Loft","blue check","hen","9/57",1417.5,"YOUNG BIRD"
"206","Hennesy Loft","grizzled","hen","10/57",1417.1,"YOUNG BIRD"
"207","April Loft","blue check","hen","5/24",1411.5,"YOUNG BIRD"
"208","April Loft","blue check","hen","6/24",1410.3,"YOUNG BIRD"
"209","April Loft","blue bar","hen","7/24",1406.6,"YOUNG BIRD"
"210","April Loft","complex","cock","8/24",1404.4,"YOUNG BIRD"
"211","Hennesy Loft","blue check","cock","11/57",1399.6,"YOUNG BIRD"
"212","Hennesy Loft","blue check","cock","12/57",1398.9,"YOUNG BIRD"
"213","Hennesy Loft","blue check","cock","13/57",1398.8,"YOUNG BIRD"
"214","Hennesy Loft","blue check","cock","14/57",1398.7,"YOUNG BIRD"
"215","Hennesy Loft","blue check","cock","15/57",1398.2,"YOUNG BIRD"
"216","Hennesy Loft","blue bar","cock","16/57",1398,"YOUNG BIRD"
"217","Hennesy Loft","blue check","hen","17/57",1397.1,"YOUNG BIRD"
"218","Hennesy Loft","blue bar","hen","18/57",1396.7,"YOUNG BIRD"
"219","Hennesy Loft","blue check","cock","19/57",1395.8,"YOUNG BIRD"
"220","Hennesy Loft","blue bar","cock","20/57",1395.5,"YOUNG BIRD"
"221","April Loft","blue check","cock","9/24",1390.1,"YOUNG BIRD"
"222","April Loft","blue bar","hen","10/24",1389,"YOUNG BIRD"
"223","Hennesy Loft","blue check","hen","21/57",1387.9,"YOUNG BIRD"
"224","Hennesy Loft","grizzled","hen","22/57",1387.4,"YOUNG BIRD"
"225","Hennesy Loft","blue check","cock","23/57",1386.1,"YOUNG BIRD"
"226","April Loft","blue check","hen","11/24",1384,"YOUNG BIRD"
"227","April Loft","blue bar","hen","12/24",1383.5,"YOUNG BIRD"
"228","April Loft","blue check","cock","13/24",1382.8,"YOUNG BIRD"
"229","April Loft","blue check","cock","14/24",1381.8,"YOUNG BIRD"
"230","April Loft","blue bar","hen","15/24",1377.5,"YOUNG BIRD"
"231","Leonard Le/50","slate","hen","101.466",1374.9,"YOUNG BIRD"
"232","B Crossen /30","blue bar","hen","102.014",1369.4,"YOUNG BIRD"
"233","Leonard Lee","blue bar","hen","2/50",1368.8,"YOUNG BIRD"
"234","Leonard Lee","blue bar","hen","3/50",1366.3,"YOUNG BIRD"
"235","Leonard Lee","blue check","hen","4/50",1366.2,"YOUNG BIRD"
"236","B Crossen","blue check","hen","2/30",1365.6,"YOUNG BIRD"
"237","B Crossen","blue bar","hen","3/30",1365.2,"YOUNG BIRD"
"238","Hennesy Loft","blue check","cock","24/57",1364.9,"YOUNG BIRD"
"239","B Crossen","blue check","hen","4/30",1364.8,"YOUNG BIRD"
"240","Hennesy Loft","white","cock","25/57",1364.6,"YOUNG BIRD"
"241","Hennesy Loft","blue bar","cock","26/57",1364.3,"YOUNG BIRD"
"242","Hennesy Loft","blue check","hen","27/57",1364,"YOUNG BIRD"
"243","Leonard Lee","blue bar","hen","5/50",1356.3,"YOUNG BIRD"
"244","Leonard Lee","blue bar","cock","6/50",1355.9,"YOUNG BIRD"
"245","Leonard Lee","blue bar","hen","7/50",1355.7,"YOUNG BIRD"
"246","Leonard Lee","blue bar","hen","8/50",1355,"YOUNG BIRD"
"247","Leonard Lee","blue bar","hen","9/50",1354.3,"YOUNG BIRD"
"248","Leonard Lee","blue check","hen","10/50",1354.2,"YOUNG BIRD"
"249","April Loft","blue bar","hen","16/24",1353.5,"YOUNG BIRD"
"250","Hennesy Loft","blue check","hen","28/57",1352.9,"YOUNG BIRD"
"251","Hideaway L/30","blue bar","hen","96.922",1343.1,"YOUNG BIRD"
"252","M Robinson/30","blue bar","hen","92.094",1337.1,"YOUNG BIRD"
"253","L Mikesell/28","dark check","cock","101.070",1314.7,"YOUNG BIRD"
"254","D J Loft  /14","blue check","hen","100.225",1287,"YOUNG BIRD"
"255","Rob Wilson /8","blue check","hen","93.271",1161.1,"YOUNG BIRD"
"256","George Pro/15","complex","hen","96.651",1033,"YOUNG BIRD"
"257","Leonard Le/37","splash","cock","101.488",1431.5,"YOUNG BIRD"
"258","Leonard Lee","blue bar","hen","2/37",1431.3,"YOUNG BIRD"
"259","Leonard Lee","blue bar","hen","3/37",1430.7,"YOUNG BIRD"
"260","Leonard Lee","blue bar","hen","4/37",1430.4,"YOUNG BIRD"
"261","Leonard Lee","blue bar","hen","5/37",1430.3,"YOUNG BIRD"
"262","Leonard Lee","blue check","hen","6/37",1426.4,"YOUNG BIRD"
"263","Leonard Lee","blue bar","cock","7/37",1407.1,"YOUNG BIRD"
"264","Leonard Lee","blue bar","hen","8/37",1406.8,"YOUNG BIRD"
"265","B Crossen /34","blue bar","cock","102.035",1406.6,"YOUNG BIRD"
"266","Leonard Lee","blue check","hen","9/37",1406.6,"YOUNG BIRD"
"267","Leonard Lee","blue bar","hen","10/37",1405.9,"YOUNG BIRD"
"268","Leonard Lee","blue check","hen","11/37",1405.7,"YOUNG BIRD"
"269","Leonard Lee","blue check","hen","12/37",1405,"YOUNG BIRD"
"270","Leonard Lee","blue check","hen","13/37",1405,"YOUNG BIRD"
"271","Leonard Lee","blue bar","hen","14/37",1404.1,"YOUNG BIRD"
"272","Leonard Lee","blue bar","hen","15/37",1404,"YOUNG BIRD"
"273","Joe Cavish/14","complex","cock","96.402",1403.1,"YOUNG BIRD"
"274","B Crossen","blue bar","cock","2/34",1400.2,"YOUNG BIRD"
"275","B Crossen","blue check","cock","3/34",1400.2,"YOUNG BIRD"
"276","B Crossen","blue bar","hen","4/34",1398.9,"YOUNG BIRD"
"277","B Crossen","blue check","hen","5/34",1398.6,"YOUNG BIRD"
"278","B Crossen","blue bar","hen","6/34",1398.5,"YOUNG BIRD"
"279","Jones Bros/14","blue bar","cock","96.436",1397.2,"YOUNG BIRD"
"280","Jones Bros Lo","blue check","hen","2/14",1396.8,"YOUNG BIRD"
"281","Leonard Lee","blue bar","hen","16/37",1396.1,"YOUNG BIRD"
"282","B Crossen","splash","cock","7/34",1395.8,"YOUNG BIRD"
"283","Jones Bros Lo","blue bar","hen","3/14",1392,"YOUNG BIRD"
"284","B Crossen","blue bar","hen","8/34",1389,"YOUNG BIRD"
"285","B Crossen","blue bar","hen","9/34",1388.3,"YOUNG BIRD"
"286","D J Loft  /27","complex","cock","100.247",1387.3,"YOUNG BIRD"
"287","B Crossen","blue check","hen","10/34",1380.5,"YOUNG BIRD"
"288","Jones Bros Lo","blue check","cock","4/14",1380.1,"YOUNG BIRD"
"289","Joe Cavish","blue check","hen","2/14",1379.8,"YOUNG BIRD"
"290","Joe Cavish","blue bar","hen","3/14",1379.3,"YOUNG BIRD"
"291","B Crossen","blue bar","hen","11/34",1378.6,"YOUNG BIRD"
"292","Jones Bros Lo","white","hen","5/14",1377.4,"YOUNG BIRD"
"293","B Crossen","blue bar","hen","12/34",1376.2,"YOUNG BIRD"
"294","B Crossen","blue check","hen","13/34",1375.6,"YOUNG BIRD"
"295","B Crossen","blue check","hen","14/34",1375.1,"YOUNG BIRD"
"296","B Crossen","blue bar","hen","15/34",1374.9,"YOUNG BIRD"
"297","Jones Bros Lo","black","cock","6/14",1368.5,"YOUNG BIRD"
"298","Hideaway L/29","blue check","cock","96.944",1365.9,"YOUNG BIRD"
"299","Hideaway Loft","blue bar","hen","2/29",1365.7,"YOUNG BIRD"
"300","Hideaway Loft","blue check","cock","3/29",1365.3,"YOUNG BIRD"
"301","Jones Bros Lo","blue bar","hen","7/14",1364.7,"YOUNG BIRD"
"302","Jones Bros Lo","blue check","hen","8/14",1363.9,"YOUNG BIRD"
"303","Hideaway Loft","blue bar","cock","4/29",1363.9,"YOUNG BIRD"
"304","Joe Cavish","blue bar","hen","4/14",1363.8,"YOUNG BIRD"
"305","Leonard Lee","blue check","cock","17/37",1363.7,"YOUNG BIRD"
"306","Joe Cavish","blue check","cock","5/14",1363.6,"YOUNG BIRD"
"307","M Robinson/49","blue bar","cock","92.116",1357.5,"YOUNG BIRD"
"308","L Mikesell/17","complex","cock","101.092",1335.3,"YOUNG BIRD"
"309","George Pro/21","blue bar","hen","96.672",1281.4,"YOUNG BIRD"
"310","Antonio Mac/7","blue check","hen","90.931",1241.7,"YOUNG BIRD"
"311","M Robinson/68","blue bar","hen","92.121",1338.8,"YOUNG BIRD"
"312","Leonard Le/95","blue bar","cock","101.492",1311.8,"YOUNG BIRD"
"313","Leonard Lee","blue bar","cock","2/95",1311.7,"YOUNG BIRD"
"314","Leonard Lee","blue bar","cock","3/95",1311.7,"YOUNG BIRD"
"315","Leonard Lee","blue bar","cock","4/95",1310.1,"YOUNG BIRD"
"316","Leonard Lee","blue bar","cock","5/95",1308.9,"YOUNG BIRD"
"317","Leonard Lee","blue check","hen","6/95",1301.2,"YOUNG BIRD"
"318","Leonard Lee","blue check","cock","7/95",1300.8,"YOUNG BIRD"
"319","Leonard Lee","blue check","hen","8/95",1299.8,"YOUNG BIRD"
"320","Leonard Lee","blue check","hen","9/95",1299.3,"YOUNG BIRD"
"321","Hideaway L/28","blue bar","cock","96.948",1292.9,"YOUNG BIRD"
"322","Leonard Lee","blue bar","hen","10/95",1291.8,"YOUNG BIRD"
"323","Leonard Lee","blue bar","cock","11/95",1291.5,"YOUNG BIRD"
"324","Leonard Lee","blue check","cock","12/95",1291.1,"YOUNG BIRD"
"325","Leonard Lee","blue bar","hen","13/95",1290.2,"YOUNG BIRD"
"326","Leonard Lee","blue bar","cock","14/95",1286.6,"YOUNG BIRD"
"327","Leonard Lee","blue bar","cock","15/95",1280.4,"YOUNG BIRD"
"328","Leonard Lee","blue bar","cock","16/95",1279.3,"YOUNG BIRD"
"329","Leonard Lee","blue bar","hen","17/95",1279.1,"YOUNG BIRD"
"330","Leonard Lee","blue check","hen","18/95",1279,"YOUNG BIRD"
"331","Leonard Lee","blue bar","hen","19/95",1278.4,"YOUNG BIRD"
"332","Leonard Lee","blue bar","hen","20/95",1278.4,"YOUNG BIRD"
"333","Leonard Lee","blue bar","hen","21/95",1277.9,"YOUNG BIRD"
"334","M Robinson","blue bar","hen","2/68",1277.1,"YOUNG BIRD"
"335","Leonard Lee","blue bar","cock","22/95",1270.6,"YOUNG BIRD"
"336","Leonard Lee","blue check","hen","23/95",1269.1,"YOUNG BIRD"
"337","Leonard Lee","blue bar","cock","24/95",1268.5,"YOUNG BIRD"
"338","Leonard Lee","blue check","hen","25/95",1267.5,"YOUNG BIRD"
"339","Leonard Lee","blue bar","hen","26/95",1267.5,"YOUNG BIRD"
"340","Leonard Lee","blue bar","cock","27/95",1267.3,"YOUNG BIRD"
"341","Leonard Lee","blue check","cock","28/95",1267.1,"YOUNG BIRD"
"342","Leonard Lee","blue check","hen","29/95",1266.7,"YOUNG BIRD"
"343","Leonard Lee","blue check","hen","30/95",1266.4,"YOUNG BIRD"
"344","Leonard Lee","blue bar","hen","31/95",1266.1,"YOUNG BIRD"
"345","Leonard Lee","blue bar","hen","32/95",1265.7,"YOUNG BIRD"
"346","Leonard Lee","blue bar","hen","33/95",1265,"YOUNG BIRD"
"347","Leonard Lee","blue bar","cock","34/95",1264.5,"YOUNG BIRD"
"348","Leonard Lee","blue check","hen","35/95",1263.6,"YOUNG BIRD"
"349","Hideaway Loft","blue check","cock","2/28",1261.4,"YOUNG BIRD"
"350","Hideaway Loft","blue bar","hen","3/28",1260.6,"YOUNG BIRD"
"351","Leonard Lee","blue check","cock","36/95",1260.5,"YOUNG BIRD"
