"","bird","max_airspeed_mph","max_airspeed_ym"
"1","Peregrine falcon",242,7098.66666666667
"2","Golden eagle",200,5866.66666666667
"3","Gyrfalcon",130,3813.33333333333
"4","Swift",106,3109.33333333333
"5","Eurasian hobby",100,2933.33333333333
"6","Frigatebird",95,2786.66666666667
"7","Spur-winged goose",88,2581.33333333333
"8","Red-breasted merganser",81,2376
"9","Canvasback",73,2141.33333333333
"10","Eider",70,2053.33333333333
"11","Teal",69,2024
